step,train_loss,train_mean_token_accuracy,train_error_rate,valid_loss,valid_mean_token_accuracy,valid_error_rate,full_valid_loss,full_valid_mean_token_accuracy,full_valid_error_rate
127,1.1319501399993896,0.75,,1.2263901233673096,0.75,,,,
128,1.4288537502288818,0.75,,1.2638978958129883,0.75,,,,
129,0.46936774253845215,0.875,,0.7021758556365967,0.875,,,,
130,1.4632775783538818,0.75,,1.7231285572052002,0.75,,,,
131,1.201568603515625,0.75,,0.9916818141937256,0.875,,,,
132,0.8902997970581055,0.875,,0.5497407913208008,0.75,,,,
133,0.2678096294403076,0.875,,1.2445464134216309,0.75,,,,
134,1.0760324001312256,0.75,,1.4005353450775146,0.75,,,,
135,0.9176590442657471,0.875,,1.1995337009429932,0.75,,,,
136,2.0259339809417725,0.75,,1.2919883728027344,0.875,,,,
137,1.1305570602416992,0.75,,1.902400255203247,0.75,,,,
138,1.234398365020752,0.75,,1.568269968032837,0.75,,,,
139,0.9639031887054443,0.875,,1.305434226989746,0.75,,,,
140,1.4653849601745605,0.75,,1.2961833477020264,0.75,,,,
141,1.3591785430908203,0.75,,0.8018898963928223,0.875,,,,
142,1.225545883178711,0.75,,0.5720274448394775,0.875,,,,
143,1.4938924312591553,0.75,,1.4939467906951904,0.75,,,,
144,1.1533901691436768,0.75,,1.3929436206817627,0.75,,,,
145,0.6532135009765625,0.875,,0.5332653522491455,0.875,,,,
146,1.382822036743164,0.75,,1.492393970489502,0.75,,,,
147,0.6050291061401367,0.75,,1.2470142841339111,0.75,,,,
148,1.6058943271636963,0.75,,0.99521803855896,0.875,,,,
149,0.9334282875061035,0.875,,0.9729406833648682,0.75,,,,
150,0.6231696605682373,0.875,,1.0976347923278809,0.75,,,,
151,0.47881627082824707,0.875,,1.3378849029541016,0.75,,,,
152,1.2225701808929443,0.75,,1.0258173942565918,0.875,,,,
153,1.2656769752502441,0.75,,1.6670660972595215,0.75,,,,
154,1.2402238845825195,0.75,,0.792579174041748,0.875,,,,
155,1.100278615951538,0.875,,1.0949995517730713,0.75,,,,
156,0.9639647006988525,0.75,,1.3812255859375,0.75,,,,
157,1.2558722496032715,0.875,,1.7924740314483643,0.75,,,,
158,1.135038137435913,0.875,,1.1859664916992188,0.75,,,,
159,1.1999733448028564,0.75,,1.0394864082336426,0.75,,,,
160,0.6179192066192627,0.875,,1.115401268005371,0.875,,,,
161,0.7144298553466797,0.875,,0.6978557109832764,0.875,,,,
162,0.7219960689544678,0.875,,0.9959075450897217,0.75,,,,
163,0.8967297077178955,0.75,,1.167052984237671,0.75,,,,
164,1.415231704711914,0.75,,0.42611098289489746,0.875,,,,
165,0.5192997455596924,0.875,,0.7970235347747803,0.875,,,,
166,0.8145906925201416,0.875,,0.8966388702392578,0.75,,,,
167,0.6449871063232422,0.75,,1.179908275604248,0.75,,,,
168,0.7806477546691895,0.875,,1.4051668643951416,0.75,,,,
169,1.3433310985565186,0.75,,1.0468060970306396,0.875,,,,
170,1.1216824054718018,0.875,,1.1846270561218262,0.75,,,,
171,1.466442346572876,0.75,,0.9482779502868652,0.875,,,,
172,0.7212357521057129,0.875,,0.723228931427002,0.875,,,,
173,1.4172945022583008,0.75,,1.4769244194030762,0.75,,,,
174,1.4801337718963623,0.75,,1.1815450191497803,0.75,,,,
175,1.0357921123504639,0.75,,0.7666678428649902,0.875,,,,
176,0.5149343013763428,0.875,,1.3954596519470215,0.75,,,,
177,0.9838285446166992,0.75,,1.127239465713501,0.75,,,,
178,0.7286062240600586,0.875,,1.2364404201507568,0.75,,,,
179,1.0877759456634521,0.75,,0.7548136711120605,0.875,,,,
180,0.827002763748169,0.875,,1.6547110080718994,0.75,,,,
181,1.169058084487915,0.75,,1.16526460647583,0.875,,,,
182,1.117030143737793,0.75,,0.5963315963745117,0.75,,,,
183,1.0355010032653809,0.875,,1.2348952293395996,0.75,,,,
184,0.7814760208129883,0.875,,1.3762116432189941,0.75,,,,
185,1.3985576629638672,0.75,,1.2091717720031738,0.75,,,,
186,1.2830324172973633,0.75,,1.3009090423583984,0.875,,,,
187,1.155968189239502,0.75,,1.8040437698364258,0.75,,,,
188,1.1659986972808838,0.75,,1.5596656799316406,0.75,,,,
189,0.8878333568572998,0.875,,1.314802885055542,0.75,,,,
190,0.7840006351470947,0.75,,1.2537825107574463,0.75,,,,
191,1.7366983890533447,0.75,,0.7852749824523926,0.875,,,,
192,0.4793250560760498,0.875,,0.5889618396759033,0.875,,,,
193,0.447559118270874,0.875,,1.5083041191101074,0.75,,,,
194,1.5086297988891602,0.75,,1.3834221363067627,0.75,,,,
195,0.7954199314117432,0.875,,0.5147593021392822,0.875,,,,
196,0.935774564743042,0.875,,1.5289859771728516,0.75,,,,
197,0.9568381309509277,0.75,,1.2568793296813965,0.75,,,,
198,1.1142981052398682,0.75,,0.9901947975158691,0.875,,,,
199,0.7997007369995117,0.75,,0.9839363098144531,0.75,,,,
200,0.7704391479492188,0.75,,1.0390002727508545,0.75,,1.1320348072052002,0.79,
